"Household Name","Donation ID","Account ID","Shopping Cart ID","Campaign ID","Donation Amount","Donation Date","Account Type","Donation Type","Individual Type","Tribute Type","Donation Status","Payment Status","Full Name (F)","Company Name","City","Address Line 1","State/Province","Zip Code","Campaign Name","Purpose","Fund","Tender Type","Tribute Full Name (F)","DAFpay Advisor Account ID","DAFpay Advisor Account Name","DAFpay Grant ID","DAFpay Note","DAFpay Status","Deceased","Do Not Contact",
"","8116","40010","33644","61","150.00","03/06/2020","Company","DONATION","","","SUCCEEDED","SUCCEEDED","Sally Brillon","1786 Wilson Homestead Old Books & Antiques","Salem","1117 Chamberlin Mills Rd.","NY","12865","Corp Fund Drive-2020-2021","","Sponsorship","Check","","","","","","","No","No",
"","5281","40010","19533","32","150.00","06/01/2016","Company","DONATION","","","SUCCEEDED","SUCCEEDED","Sally Brillon","1786 Wilson Homestead Old Books & Antiques","Salem","1117 Chamberlin Mills Rd.","NY","12865","Corp Fund Drive-2016-2017","Advertising Sponsor","Playbill Ad","Check","","","","","","","No","No",
"","6806","40010","27107","51","150.00","04/27/2018","Company","DONATION","","","SUCCEEDED","SUCCEEDED","Sally Brillon","1786 Wilson Homestead Old Books & Antiques","Salem","1117 Chamberlin Mills Rd.","NY","12865","Corp Fund Drive-2018-2019","Advertising Sponsor","Playbill Ad","Check","","","","","","","No","No",
"","6153","40010","23786","38","150.00","07/21/2017","Company","DONATION","","","SUCCEEDED","SUCCEEDED","Sally Brillon","1786 Wilson Homestead Old Books & Antiques","Salem","1117 Chamberlin Mills Rd.","NY","12865","Corp Fund Drive-2017-2018","Advertising Sponsor","Playbill Ad","Check","","","","","","","No","No",
"","4225","37765","14260","18","500.00","04/15/2014","Company","DONATION","","","SUCCEEDED","SUCCEEDED","","Ackley, Ross & Gariepy Funeral Home","","","","","Corp Fund Drive-2014-2015","","Playbill Ad","Check","","","","","","","No","Yes",
"","3605","37765","10900","12","300.00","07/03/2011","Company","DONATION","","","SUCCEEDED","SUCCEEDED","","Ackley, Ross & Gariepy Funeral Home","","","","","Corp Fund Drive-2011-2012","","Playbill Ad","Check","","","","","","","No","Yes",
"","3606","37765","10901","13","300.00","07/01/2012","Company","DONATION","","","SUCCEEDED","SUCCEEDED","","Ackley, Ross & Gariepy Funeral Home","","","","","Corp Fund Drive-2012-2013","","Playbill Ad","Check","","","","","","","No","Yes",
"","3607","37765","10902","14","500.00","04/29/2013","Company","DONATION","","","SUCCEEDED","SUCCEEDED","","Ackley, Ross & Gariepy Funeral Home","","","","","Corp Fund Drive-2013-2014","","Playbill Ad","Check","","","","","","","No","Yes",
"","3734","37765","11072","18","500.00","04/11/2014","Company","DONATION","","","SUCCEEDED","SUCCEEDED","James Gariepy","Ackley, Ross & Gariepy Funeral Home","Cambridge","73 West Main St","NY","12816","Corp Fund Drive-2014-2015","Advertising Sponsor","Playbill Ad","Credit Card (Neon)","","","","","","","No","Yes",
"","11110","45754","42786","34","250.00","01/30/2025","Company","DONATION","","","SUCCEEDED","SUCCEEDED","","Actors’ Equity Foundation","","","","","Grant Request","","","Check","","","","","","","No","No",
"","6685","37103","26306","41","1000.00","12/28/2017","Company","DONATION","","","SUCCEEDED","SUCCEEDED","D. Thomas Lloyd","Adirondack Scenic, Inc.","Argyle","439 County Route 45","NY","12809","Annual Fund Drive - 2017-2018","","Individual Annual Fund","Check","","","","","","","No","No",
"","5741","37103","21583","37","1000.00","01/03/2017","Company","DONATION","","","SUCCEEDED","SUCCEEDED","D. Thomas Lloyd","Adirondack Scenic, Inc.","Argyle","439 County Route 45","NY","12809","Annual Fund Drive - 2016-2017","","Individual Annual Fund","Check","","","","","","","No","No",
"","5013","37103","18045","28","500.00","12/31/2015","Company","DONATION","","","SUCCEEDED","SUCCEEDED","D. Thomas Lloyd","Adirondack Scenic, Inc.","Argyle","439 County Route 45","NY","12809","Annual Fund Drive - 2015-2016","","Corporate/Organization","Check","","","","","","","No","No",
"","3484","37103","9985","11","250.00","01/06/2014","Company","DONATION","","","SUCCEEDED","SUCCEEDED","D. Thomas Lloyd","Adirondack Scenic, Inc.","Argyle","439 County Route 45","NY","12809","Annual Fund Drive - 2013-2014","","Corporate/Organization","Check","","","","","","","No","No",
"","7212","37103","29223","55","1000.00","12/19/2018","Company","DONATION","","","SUCCEEDED","SUCCEEDED","D. Thomas Lloyd","Adirondack Scenic, Inc.","Argyle","439 County Route 45","NY","12809","Annual Fund Drive - 2018-2019","","Individual Annual Fund","Check","","","","","","","No","No",
"","5572","39193","21058","32","50.00","11/10/2016","Company","DONATION","","","SUCCEEDED","SUCCEEDED","Teri Ptacek","Agricultural Stewardship Assoc.","Greenwich","2531 State Route 40","NY","12834","Corp Fund Drive-2016-2017","","Playbill Ad","Check","","","","","","","No","No",
"","6166","39193","23892","38","250.00","07/28/2017","Company","DONATION","","","SUCCEEDED","SUCCEEDED","Teri Ptacek","Agricultural Stewardship Assoc.","Greenwich","2531 State Route 40","NY","12834","Corp Fund Drive-2017-2018","Advertising Sponsor","Playbill Ad","Check","","","","","","","No","No",
"","4478","39193","15422","25","200.00","05/27/2015","Company","DONATION","","","SUCCEEDED","SUCCEEDED","Teri Ptacek","Agricultural Stewardship Assoc.","Greenwich","2531 State Route 40","NY","12834","Corp Fund Drive-2015-2016","Advertising Sponsor","Playbill Ad","Check","","","","","","","No","No",
"","5512","39193","20881","32","200.00","09/06/2016","Company","DONATION","","","SUCCEEDED","SUCCEEDED","Teri Ptacek","Agricultural Stewardship Assoc.","Greenwich","2531 State Route 40","NY","12834","Corp Fund Drive-2016-2017","Advertising Sponsor","Playbill Ad","Check","","","","","","","No","No",
"","8413","39193","34516","61","100.00","12/09/2020","Company","DONATION","","","SUCCEEDED","SUCCEEDED","Teri Ptacek","Agricultural Stewardship Assoc.","Greenwich","2531 State Route 40","NY","12834","Corp Fund Drive-2020-2021","","Sponsorship","Check","","","","","","","No","No",
"","9008","39193","35862","67","100.00","12/15/2021","Company","DONATION","","","SUCCEEDED","SUCCEEDED","Teri Ptacek","Agricultural Stewardship Assoc.","Greenwich","2531 State Route 40","NY","12834","Corp Fund Drive-2021-2022","","","Check","","","","","","","No","No",
"","4226","39193","14261","18","100.00","05/01/2014","Company","DONATION","","","SUCCEEDED","SUCCEEDED","","Agricultural Stewardship Assoc.","","","","","Corp Fund Drive-2014-2015","","Playbill Ad","Check","","","","","","","No","No",
"","6951","39193","28071","46","60.00","07/10/2018","Company","DONATION","","","SUCCEEDED","SUCCEEDED","Teri Ptacek","Agricultural Stewardship Assoc.","Greenwich","2531 State Route 40","NY","12834","Misc.Donation/Campus Use","","Individual Campus Use","Check","","","","","","","No","No",
"","7553","39193","31092","56","150.00","06/12/2019","Company","DONATION","","","SUCCEEDED","SUCCEEDED","Teri Ptacek","Agricultural Stewardship Assoc.","Greenwich","2531 State Route 40","NY","12834","Corp Fund Drive-2019-2020","Advertising Sponsor","Playbill Ad","Check","","","","","","","No","No",
"","7506","39193","30786","46","60.00","05/24/2019","Company","DONATION","","","SUCCEEDED","SUCCEEDED","Teri Ptacek","Agricultural Stewardship Assoc.","Greenwich","2531 State Route 40","NY","12834","Misc.Donation/Campus Use","","Individual Campus Use","Check","","","","","","","No","No",
"","6950","39193","28070","51","250.00","07/10/2018","Company","DONATION","","","SUCCEEDED","SUCCEEDED","Teri Ptacek","Agricultural Stewardship Assoc.","Greenwich","2531 State Route 40","NY","12834","Corp Fund Drive-2018-2019","Advertising Sponsor","Playbill Ad","Check","","","","","","","No","No",
"","10280","39193","40086","110","100.00","12/15/2023","Company","DONATION","","","SUCCEEDED","SUCCEEDED","Renee Bouplon","Agricultural Stewardship Assoc.","Greenwich","2531 State Route 40","NY","12834","Corp Fund Drive-2023-2024","","","Check","","","","","","","No","No",
"","9683","39193","37823","99","50.00","12/20/2022","Company","DONATION","","","SUCCEEDED","SUCCEEDED","Renee Bouplon","Agricultural Stewardship Assoc.","Greenwich","2531 State Route 40","NY","12834","Corp Fund Drive-2022-2023","","","Check","","","","","","","No","No",
